County,Pollutant,Sample,Latitude,Longitude
Alameda,CO,0.01246034,37.743065,-122.169935
Contra Costa,CO,0.009252424,37.936013,-122.026154
Fresno,CO,0.00841268,36.785322,-119.774174
Humboldt,CO,0.006533604,40.776944,-124.1775
Imperial,CO,0.007042831,32.676186,-115.484144
Los Angeles,CO,0.010199964,34.1365,-117.92391
Orange,CO,0.011896499,33.83062,-117.93845
Riverside,CO,0.007154904,33.85275,-116.54101
Sacramento,CO,0.01063564,38.71209,-121.38109
San Bernardino,CO,0.011099338,34.895007,-117.024484
San Diego,CO,0.011467177,32.701492,-117.149653
Santa Barbara,CO,0.005366834,34.427775,-119.691218
Santa Clara,CO,0.013372871,37.348497,-121.894898
Solano,CO,0.010839608,38.102507,-122.237976