County,Pollutant,Sample,Latitude,Longitude,CO,NO2,Ozone,SO2
Alameda,CO,0.01246034,37.743065,-122.169935,0.01246034,0.109131002,0.356317993,0.011427313
Contra Costa,CO,0.009252424,37.936013,-122.026154,0.009252424,0.061569634,0.360410456,0.015858708
Fresno,CO,0.00841268,36.785322,-119.774174,0.00841268,0.104955461,0.4640728,0.006151218
Humboldt,CO,0.006533604,40.776944,-124.1775,0.006533604,0.018236545,0.353247076,0.003458054
Imperial,CO,0.007042831,32.676186,-115.484144,0.007042831,0.08267239,0.432601965,0.009386846
Los Angeles,CO,0.010199964,34.1365,-117.92391,0.010199964,0.154868223,0.412432205,0.007901866
Orange,CO,0.011896499,33.83062,-117.93845,0.011896499,0.158806263,0.417756155,0.001511487
Riverside,CO,0.007154904,33.85275,-116.54101,0.007154904,0.084669058,0.52324289,0.003125907
Sacramento,CO,0.01063564,38.71209,-121.38109,0.01063564,0.068328687,0.388479845,0.035469512
San Bernardino,CO,0.011099338,34.895007,-117.024484,0.011099338,0.183702091,0.557254165,0.008911554
San Diego,CO,0.011467177,32.701492,-117.149653,0.011467177,0.093091472,0.495797266,0.001276565
Santa Barbara,CO,0.005366834,34.427775,-119.691218,0.005366834,0.026654691,0.42688764,0.002521814
Santa Clara,CO,0.013372871,37.348497,-121.894898,0.013372871,0.136568868,0.348586014,0.002704225
Solano,CO,0.010839608,38.102507,-122.237976,0.010839608,0.072016527,0.363594123,0.009727463