County,Pollutant,Sample
Alameda,CO,0.01246034
Contra Costa,CO,0.009252424
Fresno,CO,0.00841268
Humboldt,CO,0.006533604
Imperial,CO,0.007042831
Alameda,NO2,0.109131002
Contra Costa,NO2,0.061569634
Fresno,NO2,0.104955461
Humboldt,NO2,0.018236545
Imperial,NO2,0.08267239
Alameda,Ozone,0.356317993
Contra Costa,Ozone,0.360410456
Fresno,Ozone,0.4640728
Humboldt,Ozone,0.353247076
Imperial,Ozone,0.432601965
Alameda,SO2,0.011427313
Contra Costa,SO2,0.015858708
Fresno,SO2,0.006151218
Humboldt,SO2,0.003458054
Imperial,SO2,0.009386846